"","SubscriptionId","train"
"1",11035696,TRUE
"2",11766665,TRUE
"3",11934648,TRUE
"4",11946193,TRUE
"5",11946745,TRUE
"6",11962205,FALSE
"7",11962373,FALSE
"8",11962877,TRUE
"9",11962956,TRUE
"10",11963113,TRUE
"11",11963296,FALSE
"12",11963300,FALSE
"13",11963318,TRUE
"14",11963439,FALSE
"15",11963461,TRUE
"16",11963487,TRUE
"17",11963523,TRUE
"18",11963561,TRUE
"19",11963617,FALSE
"20",11963663,TRUE
"21",11963672,TRUE
"22",11963700,FALSE
"23",11963710,TRUE
"24",11963716,TRUE
"25",11963729,TRUE
"26",11963738,TRUE
"27",11963743,TRUE
"28",11963745,TRUE
"29",11963751,FALSE
"30",11963756,TRUE
"31",11963764,TRUE
"32",11963767,FALSE
"33",11963785,FALSE
"34",11963791,TRUE
"35",11963795,TRUE
"36",11963804,TRUE
"37",11963848,TRUE
"38",11963854,TRUE
"39",11963858,TRUE
"40",11963863,FALSE
"41",11963864,TRUE
"42",11963865,TRUE
"43",11963866,TRUE
"44",11963867,TRUE
"45",11963868,FALSE
"46",11963880,FALSE
"47",11963881,FALSE
"48",11963882,FALSE
"49",11963883,FALSE
"50",11963884,TRUE
"51",11963887,TRUE
"52",11963890,TRUE
"53",11963891,FALSE
"54",11963893,FALSE
"55",11963895,TRUE
"56",11963896,TRUE
"57",11963897,TRUE
"58",11963898,FALSE
"59",11963900,TRUE
"60",11963901,FALSE
"61",11963903,TRUE
"62",11963904,FALSE
"63",11963906,TRUE
"64",11963907,TRUE
"65",11963908,TRUE
"66",11963910,FALSE
"67",11963911,TRUE
"68",11963922,FALSE
"69",11963923,TRUE
"70",11963924,TRUE
"71",11963925,TRUE
"72",11963926,TRUE
"73",11963928,TRUE
"74",11964110,TRUE
"75",11964111,FALSE
"76",11964112,TRUE
"77",11964113,TRUE
"78",11964114,TRUE
"79",11964116,TRUE
"80",11964117,FALSE
"81",11964118,TRUE
"82",11964119,TRUE
"83",11964120,FALSE
"84",11964121,FALSE
"85",11964125,FALSE
"86",11964126,FALSE
"87",11964127,TRUE
"88",11964129,TRUE
"89",11964130,TRUE
"90",11964131,FALSE
"91",11964133,TRUE
"92",11964134,TRUE
"93",11964135,FALSE
"94",11964143,TRUE
"95",11964148,TRUE
"96",11964149,TRUE
"97",11964150,TRUE
"98",11964151,TRUE
"99",11964152,FALSE
"100",11964153,TRUE
"101",11964154,FALSE
"102",11964156,TRUE
"103",11964159,TRUE
"104",11964160,TRUE
"105",11964162,TRUE
"106",11964164,TRUE
"107",11964168,TRUE
"108",11964170,TRUE
"109",11964171,FALSE
"110",11964175,FALSE
"111",11964193,TRUE
"112",11964202,TRUE
"113",11964208,TRUE
"114",11964209,TRUE
"115",11964210,TRUE
"116",11964212,TRUE
"117",11964213,TRUE
"118",11964228,TRUE
"119",11964230,FALSE
"120",11964233,FALSE
"121",11964234,TRUE
"122",11964244,TRUE
"123",11964258,FALSE
"124",11964262,TRUE
"125",11964263,TRUE
"126",11964283,TRUE
"127",11964293,TRUE
"128",11964295,FALSE
"129",11964296,FALSE
"130",11964297,TRUE
"131",11964298,FALSE
"132",11964299,TRUE
"133",11964300,TRUE
"134",11964301,TRUE
"135",11964326,TRUE
"136",11964329,TRUE
"137",11964333,TRUE
"138",11964334,FALSE
"139",11964335,FALSE
"140",11964342,TRUE
"141",11964343,TRUE
"142",11964344,TRUE
"143",11964345,FALSE
"144",11964348,TRUE
"145",11964363,FALSE
"146",11964366,TRUE
"147",11964381,TRUE
"148",11964386,TRUE
"149",11964387,TRUE
"150",11964388,TRUE
"151",11964390,TRUE
"152",11964391,TRUE
"153",11964402,TRUE
"154",11964405,TRUE
"155",11964406,FALSE
"156",11964407,TRUE
"157",11964410,TRUE
"158",11964411,TRUE
"159",11964412,TRUE
"160",11964415,TRUE
"161",11964430,TRUE
"162",11964432,TRUE
"163",11964434,TRUE
"164",11964439,TRUE
"165",11964448,TRUE
"166",11965454,TRUE
"167",11968411,TRUE
"168",11976928,FALSE
"169",11977487,TRUE
"170",11980289,TRUE
"171",11986156,TRUE
"172",11986160,FALSE
"173",11986161,TRUE
"174",11986174,FALSE
"175",11986178,TRUE
"176",11986182,TRUE
"177",11986185,TRUE
"178",11986188,TRUE
"179",11986195,TRUE
"180",11986205,TRUE
"181",11986215,FALSE
"182",11986216,TRUE
"183",11986303,FALSE
"184",11986334,FALSE
"185",11986353,TRUE
"186",11986360,TRUE
"187",11986364,TRUE
"188",11986463,TRUE
"189",11986468,FALSE
"190",11986471,FALSE
"191",11986475,TRUE
"192",11986501,TRUE
"193",11986515,FALSE
"194",11986516,FALSE
"195",11986522,TRUE
"196",11986523,FALSE
"197",11986526,FALSE
"198",11986527,TRUE
"199",11986528,FALSE
"200",11986538,TRUE
"201",11986551,TRUE
"202",11986558,TRUE
"203",11986578,FALSE
"204",11986585,TRUE
"205",11986590,TRUE
"206",11986591,TRUE
"207",11986611,FALSE
"208",11986612,FALSE
"209",11986622,TRUE
"210",11986642,TRUE
"211",11986656,FALSE
"212",11986658,TRUE
"213",11986664,TRUE
"214",11986670,FALSE
"215",11986861,TRUE
"216",11986862,TRUE
"217",11986863,FALSE
"218",11986875,TRUE
"219",11986879,TRUE
"220",11986880,FALSE
"221",11986881,FALSE
"222",11986882,FALSE
"223",11986883,FALSE
"224",11986884,TRUE
"225",11986885,TRUE
"226",11986900,TRUE
"227",11986904,TRUE
"228",11986907,TRUE
"229",11986908,TRUE
"230",11986910,TRUE
"231",11986911,FALSE
"232",11986918,TRUE
"233",11987310,TRUE
"234",11987312,TRUE
"235",11987316,TRUE
"236",11987319,TRUE
"237",11987320,TRUE
"238",11987322,TRUE
"239",11987323,TRUE
"240",11987325,TRUE
"241",11987332,TRUE
"242",11987335,TRUE
"243",11987336,TRUE
"244",11987337,TRUE
"245",11987338,TRUE
"246",11987379,TRUE
"247",11987381,TRUE
"248",11987382,TRUE
"249",11987383,TRUE
"250",11987384,TRUE
"251",11987385,FALSE
"252",11987386,TRUE
"253",11987396,FALSE
"254",11987398,FALSE
"255",11987399,TRUE
"256",11987400,TRUE
"257",11987402,FALSE
"258",11987403,FALSE
"259",11987410,FALSE
"260",11987427,TRUE
"261",11987429,TRUE
"262",11987430,TRUE
"263",11987431,TRUE
"264",11987463,TRUE
"265",11987469,TRUE
"266",11987470,FALSE
"267",11987471,FALSE
"268",11987486,TRUE
"269",11987488,TRUE
"270",11987489,TRUE
"271",11987490,FALSE
"272",11987491,FALSE
"273",11987493,FALSE
"274",11987495,TRUE
"275",11987496,TRUE
"276",11987498,TRUE
"277",11987499,TRUE
"278",11987500,FALSE
"279",11987511,TRUE
"280",11987560,TRUE
"281",11987573,FALSE
"282",11987574,TRUE
"283",11987575,FALSE
"284",11987576,FALSE
"285",11987577,FALSE
"286",11987601,TRUE
"287",11987602,FALSE
"288",11987603,TRUE
"289",11987604,TRUE
"290",11987605,TRUE
"291",11987606,TRUE
"292",11987607,TRUE
"293",11987608,FALSE
"294",11987609,TRUE
"295",11987610,TRUE
"296",11987612,FALSE
"297",11987616,TRUE
"298",11987619,FALSE
"299",11987620,TRUE
"300",11987621,FALSE
"301",11987623,FALSE
"302",11987624,TRUE
"303",11987635,TRUE
"304",11987641,TRUE
"305",11987642,TRUE
"306",11987645,TRUE
"307",11987651,FALSE
"308",11987679,FALSE
"309",11987691,TRUE
"310",11987713,TRUE
"311",11987714,TRUE
"312",11987719,TRUE
"313",11987720,TRUE
"314",11987724,FALSE
"315",11987732,TRUE
"316",11987733,TRUE
"317",11987747,TRUE
"318",11987752,TRUE
"319",11987755,FALSE
"320",11987774,TRUE
"321",11987785,FALSE
"322",11987789,TRUE
"323",11987792,TRUE
"324",11987798,TRUE
"325",11987815,TRUE
"326",11987821,TRUE
"327",11987832,FALSE
"328",11987837,FALSE
"329",11987842,FALSE
"330",11987847,FALSE
"331",11987863,TRUE
"332",11987873,TRUE
"333",11987878,TRUE
"334",11987882,TRUE
"335",11987889,FALSE
"336",11987891,FALSE
"337",11987897,TRUE
"338",11987898,TRUE
"339",11987922,TRUE
"340",11987955,TRUE
"341",11987959,TRUE
"342",11987964,TRUE
"343",11987975,TRUE
"344",11988019,TRUE
"345",11988023,TRUE
"346",11988030,TRUE
"347",11988032,TRUE
"348",11988036,TRUE
"349",11988037,FALSE
"350",11988038,TRUE
"351",11988039,TRUE
"352",11988040,TRUE
"353",11988041,TRUE
"354",11988042,TRUE
"355",11988155,TRUE
"356",11988157,TRUE
"357",11988162,TRUE
"358",11988166,TRUE
"359",11988169,FALSE
"360",11988173,TRUE
"361",11988187,FALSE
"362",11988191,FALSE
"363",11988194,TRUE
"364",11988196,FALSE
"365",11988197,TRUE
"366",11988201,TRUE
"367",11988207,TRUE
"368",11988210,FALSE
"369",11988211,TRUE
"370",11988216,TRUE
"371",11988229,TRUE
"372",11988231,TRUE
"373",11988232,TRUE
"374",11988233,TRUE
"375",11988385,TRUE
"376",11988391,TRUE
"377",11988396,TRUE
"378",11988398,TRUE
"379",11988412,FALSE
"380",11988413,TRUE
"381",11988414,TRUE
"382",11988429,TRUE
"383",11988431,FALSE
"384",11988433,TRUE
"385",11988435,TRUE
"386",11988448,TRUE
"387",11988449,TRUE
"388",11988450,FALSE
"389",11988781,TRUE
"390",11988782,FALSE
"391",11988783,TRUE
"392",11988784,TRUE
"393",11988785,TRUE
"394",11988793,FALSE
"395",11988794,FALSE
"396",11988796,FALSE
"397",11988799,FALSE
"398",11988801,TRUE
"399",11988804,TRUE
"400",11988805,FALSE
"401",11988806,FALSE
"402",11988807,TRUE
"403",11988809,FALSE
"404",11988810,FALSE
"405",11988811,TRUE
"406",11988812,FALSE
"407",11988850,TRUE
"408",11988851,FALSE
"409",11988852,TRUE
"410",11988853,FALSE
"411",11988854,TRUE
"412",11988855,TRUE
"413",11988856,FALSE
"414",11988857,FALSE
"415",11988860,TRUE
"416",11988862,TRUE
"417",11988863,TRUE
"418",11988866,TRUE
"419",11988869,TRUE
"420",11988871,FALSE
"421",11988872,TRUE
"422",11988873,FALSE
"423",11988907,FALSE
"424",11988915,FALSE
"425",11988920,TRUE
"426",11988921,TRUE
"427",11988922,TRUE
"428",11988929,FALSE
"429",11988930,FALSE
"430",11988931,TRUE
"431",11988933,TRUE
"432",11988934,FALSE
"433",11988936,TRUE
"434",11988938,FALSE
"435",11988940,FALSE
"436",11988945,TRUE
"437",11988949,FALSE
"438",11988950,TRUE
"439",11988952,TRUE
"440",11988953,FALSE
"441",11988954,TRUE
"442",11988976,TRUE
"443",11989007,FALSE
"444",11989013,TRUE
"445",11989032,TRUE
"446",11989033,TRUE
"447",11989034,TRUE
"448",11989035,FALSE
"449",11989056,TRUE
"450",11989057,TRUE
"451",11989058,TRUE
"452",11989061,TRUE
"453",11989062,TRUE
"454",11989063,TRUE
"455",11989067,TRUE
"456",11989068,TRUE
"457",11989078,TRUE
"458",11989092,FALSE
"459",11989094,TRUE
"460",11989095,FALSE
"461",11989226,TRUE
"462",11989236,TRUE
"463",11989239,FALSE
"464",11989251,TRUE
